,0
reading score,0.9256920495319165
math score,0.027516664864040814
gender_male,0.009594185599680805
test preparation course_none,0.008474341782432452
parental level of education_some high school,0.0037994354297960125
race/ethnicity_group D,0.0037315247057680976
parental level of education_high school,0.003457846526092135
race/ethnicity_group C,0.0033773390005446976
lunch_standard,0.0030922280764386985
race/ethnicity_group B,0.0028520835360416946
parental level of education_some college,0.0024543100170978643
parental level of education_bachelor's degree,0.0023352580429171314
race/ethnicity_group E,0.002097554268966218
parental level of education_master's degree,0.0015251786182667387
